author|date_time|title|comment_text
2Big|06/12/2020 12:02  PM|Colombia vs. Dominican Republic|"
			How can you not get puzzy in the DR? DR girls are whoreing themselves out all over the planet.



	I just want to spend 7-10 days in a nice place, fucking as many local putas as possible, without getting shot by El Pancho the local cocaine slinger.
		"
2Big|06/12/2020  9:24  AM|Supply and demand never thought id use it here|"
			If the merchandise isn't moving off the shelves, it's time to rethink your pricing model.
		"
2Big|06/07/2020  5:15  AM|Travel during uncertain times|"
			I was hoping to take my first non-European sex vacation this year. Well, there's always next year.
		"
2Big|06/06/2020  5:22  AM|Colombia vs. Dominican Republic|"
			Which of the two offers the better value in terms of quality of girls, etc.?



	Won't make it this year, but planning to do a sexcation next year.
		"
2Big|06/03/2020 12:05  PM|Chivalry is not dead|"
			fixed it for ya.


	Btw, I have a stack of King Soopers Gift Cards sitting on my desk. Interested?
		"
Admiral C|06/13/2020  4:24  PM|Settling In|"
			The Gates backed company Moderna's vaccine that was fast tracked by Fauci has been being tested on humans for over a month. That is the vaccine that uses messenger RNA to give new instructions to your cells DNA to supposedly start producing antibodies. The lock downs, masks, and social distancing discussions will end 10 seconds after the vaccine start rolling off the lines. Count on the WHO and CDC to then immediately say that lock downs, masks, and social distancing are totally ineffective and the only hope is mandatory vaccination of ""everyone""  on Earth.
		"
Admiral C|06/11/2020  3:08  PM|Settling In|"
			Well sure! This is just a screen full of words for entertainment...not real people.
		"
Admiral C|06/11/2020  3:06  PM|the chicken or egg problem|"
			Not that this will help the O.P. at all, but here is the answer to the chicken and egg problem. They are both the egg, and they are both the chicken......they are the same thing and therefore they both came at the same time.......like the provider and client in a good session....
		"
Admiral C|06/11/2020  2:57  PM|Supply and demand never thought id use it here|"
			I'm just curious as to which lying bs you mean since there is so much of it going on in the world. As for the slow business,it is a perfect storm of issues. Some guys who may not be going to work, can't now get away from the old ball and chain. As another poster replied to you, some old ball and chains are not rolling off to work themselves. A fair number of guys are sitting out protecting their health, many have posted it here. Then a lot of business owners have been shut down, and workers laid off, so many people can't afford it. Put all those things  together and it would not surprise me if demand was down 80%.
		"
Admiral C|06/11/2020  2:09  PM|Settling In|"
			By the way, as regards the highlighted parts. I don't think that way AT ALL. ""Shining""....""I told you so""......."" proof of planning ahead not lunacy""....Those are all about ego, and ""showing people"". Quite the opposite of having as little to do with  people as possible.
		"
Admiral C|06/11/2020  2:02  PM|Settling In|"
			No problem at all for me....THAT's what I was trying to explain. It's not sad. I do get annoyed when people just assume you need to be, and should want to be, part of society. Unfortunately, to some degree we all HAVE to be because the entire Earth is ""bought up"", and to some degree us along with it.
		"
Admiral C|06/10/2020  8:39  PM|Settling In|"
			With all due respect....and I mean that because I tend to like you and your posts...fuck off. Because I am not AN IDIOT, I have KNOWN all this SHIT has been coming for DECADES. I have ALREADY bought ALL I might want or need..... Years ago in preparation....pfunk...this is NOT BUSINESS AS USUAL!!! I have saved enough money. I have PLAYED...and PAID. Now play time is OVER! It's not MY fault.....it's not YOUR fault... it IS what it IS. You just go ahead and call my post ""saddest"". I have ALREADY moved ahead and focused on the survival and prosperity of ME AND MINE. JUST like OUR owners and masters. You ""go along to get along?""...it will be YOUR corpse stinking it up..... When it is every being for themselves..... "" Everyone is in this together"" is the narrative lie......This post is ONLY for intelligent survivors....to the rest I say.....nothing!.....
		"
Admiral C|06/10/2020  5:52  PM|Settling In|"
			Many good points...specifically, the total absence of any news one can believe.....the constant changing of the story by CDC and WHO......and the insane double standards making regular life deadly and illegal, but protests and riots safe and admirable. It is UNDENIABLE that there is tons of bullshit and constant lies....just nobody can can prove WHAT is lies. Because nobody can prove what is lies, any preposterous lie , new claim, or change in narrative is branded the truth and anyone who does not believe it is a selfish, tin foil hat wearing, conspiracy theory embracing, racist , grandma killing, dumbass. I believe nothing I hear or read. I go out and buy necessities IF I can't get them delivered, and do it very rapidly and efficiently like a ""mission"". I refuse to go anyplace else, or spend a cent on anything else. This is NOT one iota of fear of covid induced....it is disgust with the human herd of lying, insane, sometimes violent idiots,  that I  refuse to look at or be near. Like swimming in the sewer. As for the economy, I don't need anything other than food and drink, and nobody needs my money, so to hell with them all. In short, society has lost it's reason and mind and I opt out as much as is humanly possible.
		"
Admiral C|06/09/2020  9:42  AM|Admins rejecting my post ??|"
			In order for you to be consistent, may I make a suggestion for your second post. I suggest a profanity and f-bomb laced tirade about how horrible any and all ladies are who won't see you for lack of references or  ""other reasons"". You work on that and the rest of us will go get buckets of popcorn.
		"
Admiral C|05/30/2020  9:36  AM|There are some awesome rates right now.|"
			If a lady asks me for a tip, she is getting the shaft.....
		"
Admiral C|05/20/2020 12:59  PM|Members you miss|"
			Here you can trip down memory lane. Much old content is still there...even many old ad pictures of loves past!!  https://web.archive.org/web/*/theotherboard.com
		"
Admiral C|05/20/2020 12:50  PM|Members you miss|"
			Missed ladies in the Springs, I would list as Sasha and Maxine. Up North, Sweet Ashley, Anjelica, Catrina, and Lauren come to mind. Posters- writer, Sinbad , spider, Octavia, Classy Centerfold were all entertaining in their own ways. I also miss many of the more controversial, outrageous, and even downright violation posters.  And the chat room....although that is not exactly a member.
		"
Admiral C|05/07/2020 11:51  AM|WTF - This looks way TGTBT|"
			I'm sure the payment methods are excused the same way scammers have used them for 25 years......."" These payment methods and credit card information collection are just to verify that you are an adult.""
		"
Admiral C|05/05/2020  9:57  AM|Looking for sugarbaby, Denver or Colorado Springs.|"
			Here ya go!
		"
Admiral C|05/05/2020  9:45  AM|Not sure who needs to hear this...|"
			That is almost always true from a practical perspective, but not technically true. Due to the intimate nature of the hobby and the fact that everyone in it is a human being, it is unrealistic to think love is not going to happen sometimes. Occasionally clients fall for providers, providers fall for clients, and sometimes they fall in love with each other. I have had the good fortune to experience that last of those more than once. The PRACTICAL problem here is that almost everyone equates ""In Love"" with "" Now must be in relationship, almost certainly monogamous"".....that's when it all goes off the rails. HOWEVER, rarely, a small few people can be in love and NOT require that to = relationship......THAT is a special thing beyond description. That said, DO NOT go LOOKING for that.
		"
Alex Majors|07/06/2020  2:44  PM|Name change|"
			If the corporate sponsors do all the naming of teams, then they would have changed them years ago. They just buy naming rights to the stadiums. So far there are no Coors Silver Bullets.  I really could care less. I don't care about sports. No person should be paid tens of millions for throwing, carring, hitting or kicking a ball. I think the virus has proved we can do just as good without them. Most make local cities pay for  the stadiums, the teams could otherwise afford all by themselves.



	As for the statutes being about slavery on public property, you have a point. No one should see a statue of a slave.  If you are in that locallity and are paying taxes. All you need to do is get a pettion and ask to have them taken down. If you don't live there and don't  pay into the local taxes, well I don't think they will listen to you.  What if the people of some place outside of Colorado said you should ban all illegal  drug sales,  medical or recreational. I bet you in Colorado would them tell them where to go. That they have no rights interfering with you making your children drug addicts.
		"
Alex Majors|07/05/2020 11:08  PM|Name change|"
			Personally, this is America and not some dictatorship.. If everyone who wants to change the name kicks in a few bucks, they can buy the team and call it whatever the hell they want. I am sure the owners can't turn down a lucrative offer. Everything solved and everyone is happy. Capiltalism at its best.   It is never good to force anyone,  to do anything you want, against their will. All it breeds is resentment.



	If some small Southern town has a memorial to the locals who fought in the Civil War, why does it bother you. Most of us probably have never  seen one in person.  I know I haven't. I for one am not going to tell them from hundreds of miles away, what they should do. I don't live there. By the same token,  they shouldn't be telling me who we should have as statues where Iive.



	Just like the Cultural Revolution in China in 1966, these kids are blindly following someone's agenda. If they do away with the law like they want , you could find yourself on the wrong end of mob rule. It didn't turn out so well for 712,000 Chinese,  who they executed on bogus charges.
		"
Alex Majors|06/29/2020 12:11  PM|Covid-19 Vaccine|"
			I am more in the middle.  I have been in jets the govt had developed with thousands of parts supplied by the lowest bidder, much like this vacine.  I would like to how it flies first. Lol.
		"
Alex Majors|06/27/2020  7:39  AM|First Impressions|"
			That she looks like her photos. Nothing more depressing than to see you were baited by pics that are years old  and more than a few pounds added on.
		"
Alex Majors|06/25/2020 10:13  PM|You'll Never Walk Alone|"
			I believe we can all agree life is not fair.  There will always be someone who doesn't like you for one reason or another. Reparations. Just who should receive this payment? Those who had been slaves are long dead.  Where I live, 60% of my property taxes go to the public schools. I believe I have paid my fair share. Education is what allows you to succeed in life and keeps you  out of trouble.  They have excellent training for trades also.  It is provided free of charge but you have to be willing to want to learn.



	As for the question on why some cling to a certain symbol. I grew up in what is called the Burnt District,  along the border with Kansas.  My family arrived long after the Civil War, so it wasn't a part of my family's history  but I grew up with people whose families settled this area in the 1820's.  They were some of the few  who returned . All inhabitants in a 2,200 sq mile area, no matter which side they favored , were forced out of their homes, most of  their property conficated by Union troops and all buildings put to the torch. Just like those who lost property to the rioters and looters. Some take pride that their ancestors,  at least fought back against this injustice to them.   They had no slaves.
		"
Alex Majors|06/25/2020  8:59  PM|Plan A vs Plan B-lesson learned|"
			Unfortunately I plan my days in advance.  So if Plan A is unavailable, I abort and just wait for another day.
		"
Alex Majors|06/25/2020  8:49  PM|How are things?|"
			Well in Kansas things are opening up.  Bar and grilles, restaurants have about 50% seating. Strip clubs in Kansas are back up and no different than pre-quarantine times. Motels/hotels are still slow. The local amuzement park on the Missouri side has opened but are requiring masks. Anything is better than nothing.
		"
Alex Majors|06/17/2020  4:57  AM|photographer qualifications|"
			I have known a couple of photographers. They never had a make-up or hair girl. The models handled that. They had a dressing room with a lighted mirror for the models to tend to that themselves. The photographers did have help with the special effects. Wind machines, lighting, back drops, set furniture, to adjust gowns, etc.
		"
Alex Majors|06/10/2020  6:34  AM|Colombia vs. Dominican Republic|"
			It looks like the girls are prettier in Columbia but your safety is better in the DR, from what I hear.
		"
Alex Majors|06/05/2020  2:46  PM|Settling In|"
			Personally I don't wear a mask. If asked to,  I will be polite and do so. Just like my seatbelt. I drive some pretty robust vehicles, stay at the speed limit and drive according to the weather conditions. No problems with not wearing one.



	Now we have had all these  highly paid doctors/scientists through time show they have no idea what they are doing. They took an educated guess because none of them have been in this position before. Their computer model predicted the sky was falling and everyone listened. Now the economy took a BIG hit. Yes people died but a lot of them were on that path to an early grave.  Our society is run by people with no common sense. For example I was talking to a nurse. Her hospital made a policy that if any worker traveled to a hot spot, they would have to self quarantine for 2 weeks. Even if they drove through  non-stop on the interstate at 65mph with the windows up. Yet they could eat lunch 6feet away in the cafeteria.  from nurses who work in the Covid wing. Yet they don't have to self quarantine because of that.
		"
Alex Majors|05/27/2020  8:18  PM|40 is better than 20|"
			Well I can't remember what I did last week, let alone what I did when I was 40. It just all blurs together,  when all you do is work.  So enjoy it while you can and take plenty of pictures.
		"
Alex Majors|05/18/2020 12:00  AM|Deposits Deposits Deposits!!!|"
			This was discussed in the KC ECCIE forum. If you want to read it, go to ECCIE Kansas City. Coed forum, title  ""Encounter Brookes352 is a thief""  https://eccie.net/showthread.php?t=2714797



	A girl who is a member, asked for and received a $100 deposit from another member.  Then ghosted the guy at the time of the appointment. He posted a warning of her, after waiting a bit.  He wanted  to see if she would contact him back. Only then,  did she post to the thread. Said she would get the money back to him when she had it. Then posted in another thread by mistake that she was in Oklahoma City. Ready to meet some friends. I am sure she spent over $100 to get there and get a room but couldn't refund the money she took from the other member.  I have never and will never advance funds in the hobby. Writing a bad review on the girl doesn't matter. She doesn't care. Otherwise she would never stole the deposit.
		"
Alex Majors|05/13/2020 12:14  PM|It's like they aren't even trying anymore|"
			When they were pictures of Asian ladies, you knew whoever was at the door,  wasn't who  was in the picture. But at least they were Asian.  Now your not even going to be able to  guess what is behind door number #1
		"
Alex Majors|05/13/2020 10:16  AM|The Benefits|"
			Some people just don't understand the meaning of HOT.  You just have to let someone get burned , for them to learn a lesson.
		"
Alex Majors|05/07/2020  9:51  PM|Denied Booking....Not Sure Why|"
			Basically I kind of know how you feel. I got on P411 to see one girl in particular. She was a dancer at a club but I never had a chance to get any dances. She had a lot of regulars.  As soon as I became a member, she went dark. She reappeared 6 months later but never got back with my appointment request. I know she looked at my profile several times. Then went inactive. That's life.



	Like Stevie-2249 said, they get a lot of calls. I was good friends with one girl. We would get a bite now and then. Hangout and drink. Her phone would go off at all hours. You wouldn't believe how many calls she would get at 3am. I don't know why this one lied about the reason she wouldn't meet. They can't do everyone that calls them. Maybe that was the excuse she used to control volume. Hoping you might call her another day.
		"
Audrey Astor|07/05/2020  3:40  PM|Already July? Damn|"
			It’s definitely difficult to shore up that it’s July. My sis and I are calling it The Summer that Wasn’t. I too miss outdoor festivals and community gatherings. I was hoping for a history vaca back East. Oh well... it will be there when we get to it. I am however grateful to be well, and have those around me well.
		"
Audrey Astor|07/05/2020  3:29  PM|Be Kind|"
			Thanks Piper, great post. Beyond the reviews (which are fairly gentle, On this site), there’s the backchanneling. That to me is kind of gross, but it is what it is. In this business, we have to have enough security and maturity to come to the realization that we don’t want to see negative or gossipy people anyhow. It takes awhile to get there. Congrats on your new endeavors, and blessings abound to you sweetie.😘
		"
Audrey Astor|07/05/2020  1:49  AM|Client face picture|"
			Surprise
		"
Audrey Astor|07/01/2020  1:50  PM|Duo’s|"
			When looking at the reviews, there is a search function where you can enter two girl, duos, etc so the reviews will be delineated for you. Good luck, and have a great time.👍😘
		"
Audrey Astor|07/01/2020  1:48  PM|Providers that really listen to you.|"
			I’m glad you’ve found someone where you have a great connection.



	This thread makes me wonder where and who some guys are visiting.🙁😩🤔
		"
Audrey Astor|06/29/2020 12:32  PM|stop posting for premium snap or only fans|"
			Just as you have a right to select and choose which ladies to visit, they have options on where to advertise, what kind of content,sessions etc to offer. I’m not sure if you’ve noticed, but internet marketing is alive and well. You’ll not just see ladies utilizing that venue, but multi billion dollar corporations as well. While I don’t use Snapchat or Only Fans, many of my peers do. I’ll always promote other ladies no matter which platform they utilize. They’re not bothering me, and probably not you. Why do I care? Have a good day.
		"
Audrey Astor|06/20/2020  2:57  PM|Tiny Tawny|"
			Or just totally drop the ball during scheduling. Ugh! Good luck hope things turn around. She’s still on Twitter.
		"
Audrey Astor|06/20/2020  2:30  PM|Msog providers|"
			Ding,ding,ding!!! 🥇 (Especially when what you are asking about is already published.) When I’m spending this kind of $$$, I do my research. It stings to lose money.



	Every 100th communication goes something like this, “Hi my name/handle is XYZ. I’d like to schedule xyz amount of time at xyz time and date. My references are abc contact info abc”. Can we at least try to get to 50%. And it’s probably not best to go looking for a diamond in the rough until your screening skills are somewhat accomplished.
		"
Audrey Astor|06/20/2020  2:11  PM|Helloo Colorado|"
			Welcome and have a great time!
		"
Audrey Astor|06/04/2020 11:16  PM|JUST MOVED TO DENVER|"
			Welcome, and have funnnnn!
		"
Audrey Astor|06/03/2020  7:22  PM|Favorite position|"
			Errrrr......I think they are hidden very deep too😂🤣😂
		"
Audrey Astor|05/26/2020 12:51  PM|Admins rejecting my post ??|"
			Hmmmm..... after your post, it should be easier now to get references. Maybe not....



	We here appreciate our mods and our fun little board. I don’t think you will fit in here. Your post reads like a 13 year old pouting.
		"
Audrey Astor|05/10/2020 11:56  PM|The Provider Paradox|"
			Interesting.... thank you for your thoughts, assumptions, and ignorance. Oh, and thank you for helping with pre-screening.😉



	WINNING!
		"
Audrey Astor|05/04/2020  8:41  PM|Not sure who needs to hear this...|"
			Every time that I hear or read something like this, I’m just aghast. Does anyone not have any respect and/or pride? Am I an old fuddy duddy? Shit happens ( like what we’re going through now), but mismanagement of funds and/or gambling, do not count. There are guys that keep going back for it....again, again, and again.🤷‍♀️  There are plenty of honest ladies who run their business with morale. You reap what you sow. I digress though, I agree with the op and @Hunter VanDyke.



	While at it, I’d like to thank the guys that have given, donated and even offered without being prompted during this time. We love you friends.💕😘
		"
Audrey Astor|04/29/2020  8:59  PM|Big donations|"
			The old adage is that ladies select their rates based on how busy they would like to be.



	You can throw whatever opinions in that you’d like.🤷‍♀️  There are plenty of clients to go around for every type of lady. At a lower donation you do more “work” than a higher donation. PERIOD
		"
Bit Banger|07/06/2020  6:01  PM|Roadtrippin Tunes|"
			I cheat!  SIRIUS channels select my playlist, I select the channel based on mood.  Primary channels?  Roadhouse, Sinatra, Elvis, NPR, Symphony, Blues, Classic Radio, Opera, 60’s



	Classic Radio can be a hoot.  It’s the old drama/mystery (Shadow, Lone Ranger, etc) and comedy (Jack Benny, etc) radio shows from the 30’s & 40’s.
		"
Bit Banger|07/05/2020  3:39  PM|Name change|"
			1) Good suggestion



	2) If this were true, why is it used so frequently in rap & hiphop?
		"
Bit Banger|07/05/2020 12:22  PM|Fireworks|"
			I still remember my first 4th back in The World (‘71).  I found myself under the table more than once. 😦
		"
Bit Banger|07/04/2020  8:14  PM|Name change|"
			This just in.



	The little mermaid in Copenhagen Harbor was vandalized as a “racist fish”.
		"
Bit Banger|07/04/2020  7:40  PM|Waiting  30 days for reference check|"
			^ THIS ^
		"
Bit Banger|07/04/2020  7:39  PM|Name change|"
			Just a year or two ago they were just tearing down Confederate statues.  As that pebble rolls down hill it’s picked up other rocks & gained speed.  Now it’s various Presidents (including Lincoln), Columbus, etc.  That’s the avalanche to which I refer.  What will it be next year? Reagan & JFK?  Wright brothers or Henry Ford?
		"
Bit Banger|07/04/2020  9:30  AM|Covid-19 Vaccine|"
			O’Bummer, Orange Plague, Killery, etc.



	No wonder political discussions get so heated with folks behaving like it’s 2nd grade in the school yard tossing taunts & names back and forth.



	I have not liked or appreciated the all policies of any of the above individuals.  But I will “salute the bars”, giving the office they attained due respect. That might lend a touch of decorum to our discussions.
		"
Bit Banger|07/03/2020  6:22  PM|Covid-19 Vaccine|"
			My favorite in that vein is that protests are protected, but religious services are not!
		"
Bit Banger|07/03/2020 11:20  AM|Covid-19 Vaccine|"
			Sorry, some folks around here may not have been in CO long enough to know about Gov. Lamm.
		"
Bit Banger|07/03/2020 11:18  AM|Name change|"
			Are we also going to change the names of the Kansas City NFL and Atlanta MLB teams?



	Are we going to eliminate rap & hiphop with words that would get me persecuted?



	Seriously, where does it stop?  When is enough enough?  Each of these decisions, when considered by itself, seem reasonable.  Yet like the pebble rolling down hill, the avalanche will crush you, and our society.



	Simply put, I am offended by the ‘cancel’ culture!
		"
Bit Banger|07/03/2020 11:05  AM|Covid-19 Vaccine|"
			I was referring to Gov. Lamm’s “the old have a duty to die” remark.
		"
Bit Banger|07/03/2020 10:33  AM|Covid-19 Vaccine|"
			Channeling our own Gov. Dick Lamm 🥴
		"
Bit Banger|07/03/2020 10:29  AM|Name change|"
			I never said it wasn’t a racial slur.  If you’re offended, don’t watch their games or buy their logo goods.



	Suppose I’m offended by Christianity (I’m not, btw).  Should I demand that all the cities, etc. named for saints be renamed?  How many Columbus/Columbia places are going to be changed?



	There is no end to this process because there is always somebody who has an axe to grind.
		"
Bit Banger|07/03/2020  8:26  AM|Name change|"
			Yes.  Next will be the Chiefs. Then PETA will start complaining on behalf of horses, aquatic mammals, and cats.  And that’s just the NFL.  Everybody knows that Rangers were a racist bunch, be they Texans, Roger’s, or Airborne. ...



	Where does it stop?  Trying to please all the people all the time is impossible.
		"
Bit Banger|07/03/2020  8:14  AM|Already July? Damn|"
			Yep! Fitting, but not enough.  They’re young & healthy.  Wait until the go visits their folks. 🥴
		"
contrails|05/07/2020  9:12  AM|If you won the Powerball?|"
			I'd rescue more dogs.
		"
contrails|03/07/2020 12:54  PM|Covid-19 (2019 novel coronavirus)|"
			Judging by that incoherent response I can see how easily you'd misinterpret what the President said. Or grasp based on your revolting wish to see harm to Trump, let alone anyone.
		"
contrails|03/04/2020  4:13  PM|Covid-19 (2019 novel coronavirus)|"
			I didn't need an interpreter as it was pretty clear to me what he meant and he did clarify.
		"
contrails|03/04/2020  4:08  PM|Covid-19 (2019 novel coronavirus)|"
			I travel to China on business and looking my travel records Ive been over there 22 times in the last 4 years so I have some reliable contacts. Today, I finally heard from someone I know over there and I'll tell you up until his text, I was going to be cognizant and careful. However, I'll  be honest, I am scared shitless about this now. I'm not going to rumor monger and post what he said but I do believe we are on the cusp of a very serious pandemic. If what he said is true, and I have no doubt believing him, we are going to be seriously fucked.



	I do not trust the Chinese government at all and we had better get really serious in this country about containment.
		"
contrails|03/04/2020  3:57  PM|Covid-19 (2019 novel coronavirus)|"
			Personally, I think your comment is disgusting yet so typical of the left. I'd keep an eye for karma with thoughts like that.



	Like everything MSM does, and many fall for, he didn't refer to the ""virus"" as a hoax but the politicizing from the democrats.



	https://www.factcheck.org/2020/03/trump-and-the-new-hoax/
		"
contrails|12/15/2019  8:47  PM|How was your year?|"
			My year is ending up being very lucrative on the financial side after closing a couple of very difficult and time consuming deals. It has allowed me to be able to donate around 1/4 of my earnings to some worthy charities, which is cool. But the one thing that makes me the happiest and fulfilled are my dog rescues. I have saved 33 dogs from euthanization this year. At this point in my life I don't care any longer about buying another airplane, car or other materialistic crap. Feels good. On the negative side I've lost several really good friends and an old squadron bud that I had known all the way back from my UPT days.
		"
contrails|12/02/2019 10:52  AM|411 on Dianna Anderson|"
			I recently sent 2 messages about availability........crickets after the canned response.
		"
contrails|11/30/2019  3:07  PM|Close One?????|"
			Paranoia? Yea well 2 DCSD Sheriff SUV's racing into the lot with another cruiser hauling ass to the hotel would probably spook anyone with half a brain. Her references were good on TOB. Thanks for your......input.
		"
contrails|11/30/2019  2:58  PM|Close One?????|"
			I put myself in that situation? Wtf is that supposed to mean?
		"
contrails|11/24/2019  8:13  PM|Request for info: international|"
			I travel to China several times a year on business.  About the only real safe places now to try and meet escorts is in the upscale hotels.....easy to find companionship with bartenders that will hook you up. I strongly suggest avoiding any other venues to find escorts or activities including the salons and massage parlors. Things are really changing over there with many things and not for the good either. It’s getting very dangerous for Westerners in my opinion. I tried to give this same advice to someone I know recently but he ignored the tips. He was robbed at knifepoint in Shanghai and got a pretty good beating afterwards.
		"
contrails|11/18/2019  9:35  AM|Provider Name Chnages|"
			Well.......I using my iphone so it may not have been written that great (plus I hate the edit function on here it locks so quick). However that being said, you obviously got the jist of what I was trying to point out about possibly more than one woman using the profile. I'm going leave it at that because I'm to lazy to look up the old screenshot from my p411 account. I also, purposely, did not give any identifying details it case it's legit and not wasting the moderators time if so.



	Moderators feel free to lock this thread or delete it.
		"
contrails|11/18/2019  8:56  AM|Close One?????|"
			Yea for sure......it was on high alert.





	Good points.  I've gotten in the habit of looking for unmarked cars prior to entering.
		"
contrails|11/18/2019  8:53  AM|Provider Name Chnages|"
			Good point.
		"
contrails|11/18/2019  7:34  AM|Close One?????|"
			So yesterday I made an appointment with a provider that has all yes references with good comments. Great communication but upon getting there she is running late and offers a friend which I decline and decide to wait for her. No problem at all on my end as things happen as well all know. Anyway......as I am waiting from a very tactical position, 2 Sheriff SUV's move into the lot and I am out of there telling the provider what's going on.  Driving off another Sheriff car was headed down the road towards the incall. Quite fast I'd add



	I am not saying it was related to this provider but I got to wondering about the whole incident. When I got home I did a Google search of the number and it pulled up multiple listings (yea I should've checked that prior). I guess if I had a giant set of balls I would've walked on in Lol.
		"
contrails|11/18/2019  7:20  AM|Provider Name Chnages|"
			Probably and most likely correct. Anyway good discussion.
		"
gr8owl|07/06/2020  8:43  AM|"411 on LC Playful Princess""?"|"
			you are welcome
		"
gr8owl|07/06/2020  8:38  AM|Name change|"
			Another ridiculous straw man argument.  Is ""raider"" a racist term insulting to significant portions of the populace?  No?  Then why try to compare? (because you can't come up with a relevant, intelligent reason)
		"
gr8owl|07/06/2020  8:35  AM|Name change|"
			She has a right to her opinion.  Thousands if not millions of indigenous folks disagree.  Whole point of why I keep saying there should be an open community discussion about statues, team names, etc.  Let the chips fall where they may.
		"
gr8owl|07/05/2020 11:32  AM|Name change|"
			I was kinda thinking maybe the Ba Skins  The way they have played for several years this could be purrfect.
		"
gr8owl|07/05/2020 11:11  AM|Name change|"
			Sooo ........................... you mean call them the potato skins??
		"
gr8owl|07/05/2020 11:00  AM|"411 on LC Playful Princess""?"|"
			Under different number - 210-239-9397  I assume there may be more info available at ourhome and/or eccie if you are a member, but here are a couple reviews



	https://home.ourhome2.net/showthread.php?189173-PlayfulPrincess-Perfectly-Playful



	https://eccie.net/showthread.php?t=2446958



	https://www.escortdirectory.com/escort/Playful Princess 727-117314/ru/
		"
gr8owl|07/04/2020 11:02  AM|Happy 4th of July|"
			Happy 4th to all!!



	We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with certain unalienable rights, that among these are Life, Liberty and the pursuit of Happiness.



	May we never forget!!
		"
