author|profile_href|location|date_time|comment_text
TheWhisperer|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=4454|N/A|08/28/2018  4:46  PM|Interesting Review Statistic|"
			She refused to acknowledge she was Katie Cream and denied it to the admins and the board. We added that to her name to bring an end to the deception.
 


	It appears she had the reviewer had a history that went south, that's unfortunate.
		"
TheWhisperer|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=4454|N/A|08/24/2018  4:05  PM|Reviews and References|"
			Thank you
		"
TheWhisperer|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=4454|N/A|08/24/2018  4:05  PM|Reviews and References|"
			New reviewers must obtain a reference from an established user before submitting a review.
 


	We are requesting all reviewers obtain references whenever possible.
		"
TheWhisperer|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=4454|N/A|08/16/2018 10:11  AM|"""i"" before ""e"" except after ""c"" (with many exceptions)"|"
			Thank you, this should be addressed in our next update. That should happen in the next 60 days. Have a great day.
		"
Bit Banger|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=142|N/A|05/20/2020  9:00  PM|Denver|"
			A year ago today I arrived from TX on a nice, sunny, 70 degree day. Woke up at 3am and it’s snowing to beat the band 🥴
 


	Up near the WY border at 9,000’, I’ve awakened to 6” of snow on both Jun 15 and Aug 15.  Go figure!
		"
Bit Banger|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=142|N/A|05/20/2020  4:19  PM|Please, stop asking....|"
			I had a cute female doc for a while.  It didn’t help 😗
		"
Bit Banger|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=142|N/A|05/20/2020  1:36  PM|Members you miss|"
			Too many.  Velvet & Sunny are two with whom I’m still in touch.
		"
Bit Banger|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=142|N/A|05/20/2020  1:34  PM|Members you miss|"
			How could I forget Anjelica?  One of the few who could ride me until I passed out, eyeballs to the back of my head.
		"
Bit Banger|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=142|N/A|05/20/2020  1:27  PM|Spanking|"
			I’ll confess to the occasional light swat on the tush during doggie to watch her flinch & tighten up. But NEVER so much as to redden her cheeks.
 


	Years ago I scheduled a long session with a switch/dom pair.  Under the dom’s supervision the switch & I traded places for a suspended flogging just for the experience.  I discovered that neither turned me on.  A surprise since some written BDSM does.
		"
Bit Banger|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=142|N/A|05/20/2020 12:42  PM|Deposits Deposits Deposits!!!|"
			Yep,  I think Elaine was the only female there.
		"
Bit Banger|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=142|N/A|05/20/2020 10:45  AM|Members you miss|"
			Yep, met him at one of his gigs.  I also remember that one of the gals had him on a string, until his wife found out. 😨
		"
Bit Banger|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=142|N/A|05/20/2020 10:42  AM|Deposits Deposits Deposits!!!|"
			The PussyCats kept a tight rein on the StrayCats.  They recognized that the M&G were a major marketing event.  If the gals didn’t mingle with the TomCats, they weren’t invited to the next event.  They also kept a rein on the TomCats; get out of hand (drunk, grabby, etc) and you got dropped from the group.  These actions made it a safe environment for all.  I often made an appointment with someone new (to me) shortly after one of these events.
 


	I do remember going to an RMO party in the late 80s.  Total sausage fest😒
		"
Bit Banger|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=142|N/A|05/20/2020 10:34  AM|Get Up and Dance!|"
			I recall reading somewhere that dance is one of his private passions.   
	Did you know that Robert Duval was a competition level Tango artist?
		"
Bit Banger|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=142|N/A|05/20/2020  8:29  AM|Get Up and Dance!|"
			Walken has always been a dancer.  As I recall he appeared in one (or more) Micheal Jackson videos.  You will occasionally see a dance movement in some of his films.
		"
Bit Banger|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=142|N/A|05/20/2020  7:55  AM|Deposits Deposits Deposits!!!|"
			Actually I think the first of the Meet&Greet parties was hosted by RagTop many years ago.  Then Sweet Ashley started the tradition for the TOB crowd.  When Ashley retired, the Pussycats continued the practice.  As I recall mtmoves & Bear also hosted a few.
 


	I agree, it was nice to chat with the gals in that environment.  I chose to see more than one gal based on the experience.
		"
Bit Banger|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=142|N/A|05/20/2020  7:48  AM|Remember the black dot thread??|"
			Just remember that the angle of the dangle is proportional to the heat of the meat and inversely proportional to the mass of the ass. 😜
		"
Bit Banger|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=142|N/A|05/20/2020  7:39  AM|Get Up and Dance!|"
			Try DragonFest with a drum circle and dancing around the fire nightly.  But I hear that it will be virtual (online sessions) this year.  We also had full moon & solstice drum circle at a park near Tampa.  
	It can be truly liberating to dance around a bonfire skyclad 😁
		"
Bit Banger|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=142|N/A|05/20/2020  7:10  AM|tutti frutti|"
			Like symphonic Beatles or Muzak renditions of Rock?
		"
Bit Banger|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=142|N/A|05/19/2020  5:05  PM|Get Up and Dance!|"
			Closed my eyes & heard Janice.
		"
Hunter VanDyke|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21378|Denver, CO|05/17/2020  2:34  PM|Deposits Deposits Deposits!!!|"
			I don't think any provider or client should do anything they're not comfortable with, and they really dont need a reason or explaination 
 


	I just want to get the point across that the deposit system works without getting ripped off if you are dealing with reputable providers
		"
Hunter VanDyke|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21378|Denver, CO|05/17/2020 12:26  PM|The Provider Paradox|"
			Actually everything you stated above is more of the myth. I have interectactions with a lot of providers, maybe 5%-10%  fit into this category. 
 


	However I can see you swimming around in that 5-10% pool because you post craigslist ads in search of providers. So it could seem like most providers are this way to someone like you. 
 


	If clients find themsleves only coming across ladies where this is a constant issue, try setting the bar a little higher. Join the other 90-95% and stop putting down providers and assigning us these dated stereotypes, and take responsibility for your own poor choices.
		"
Hunter VanDyke|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21378|Denver, CO|05/17/2020  8:55  AM|Deposits Deposits Deposits!!!|"
			Imo deposits should only be given after you've done extensive research on the provider, and come to the conclusion she has a reputation of integrity and doesn't steal from her clients.  Guys getting hundreds of dollars stolen from them are thinking with the wrong head.
		"
Hunter VanDyke|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21378|Denver, CO|05/13/2020  7:26  AM|The Benefits|"
			From this lady....nunya...🙄🤦‍♀️
		"
Hunter VanDyke|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21378|Denver, CO|05/10/2020  6:58  PM|Lockdown stay at home order (or whatever it is) is over now what?|"
			😂😂😂 you were half way there! 
 


	2 halves make a whole 😉
		"
Hunter VanDyke|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21378|Denver, CO|05/10/2020  6:37  PM|Lockdown stay at home order (or whatever it is) is over now what?|"
			Had to go back and check, but I did in fact do my part, and gave a blowjob on 3/14 😁
		"
Hunter VanDyke|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21378|Denver, CO|05/10/2020 10:41  AM|Lockdown stay at home order (or whatever it is) is over now what?|"
			Safe travels back sir. I bet you can't wait! 
 


	What does 3/14 rules? Mean? For us dummies. 😂
		"
Hunter VanDyke|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21378|Denver, CO|05/10/2020  9:47  AM|Happy Mothers Day|"
			Happy Mother's to all the momma's here ❤🧡💛💚💙💜
		"
Hunter VanDyke|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21378|Denver, CO|05/10/2020  9:41  AM|Lockdown stay at home order (or whatever it is) is over now what?|"
			That's completely understandable. Finances play a big role in when you guys come back. 
 


	I'm curious to hear from the guys that have the financial means. When will those guys be booking dates again, and what will that look like? Will they be changing up the way they do things? What safety measures will they take? I'm very curious because they're the other half of the equation albeit the anonymous half.
		"
Hunter VanDyke|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21378|Denver, CO|05/10/2020  9:29  AM|The Provider Paradox|"
			There's absolutely nothing wrong with reaching out to our community while we're in the midde of a pandemic/economic depression. The majority of this country has received assistance for being out of work. There are fundraisers all over helping their communities that have fallen on hard times, and these are hard times.  Heaven forbid one of us reaches out to our own community to help some of our own. You just want to use this tragedy as another opportunity to bash on SWs, because thats what you do.  It's okay though, as you already know, there's no shame in my game when it comes to helping our community. 💋💋💋
 


	Happy Mother's Day everyone 💞
		"
Hunter VanDyke|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21378|Denver, CO|05/09/2020 11:27  PM|Lockdown stay at home order (or whatever it is) is over now what?|"
			Each lady will decide when to come back, if they haven't already, and as always will handle that in their own ways. Many clients have been seeing providers just as they always have. They never really slowed down. Most ladies I personally know will be back on a limited basis at the very least mid to end of May/beginning of June. 
 


	I'm curious to know when the guys will plan on seeing ladies again. The ones that haven't already been playing. The ones who aren't in high risk groups.
		"
Hunter VanDyke|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21378|Denver, CO|05/09/2020 11:18  PM|Pandemic Feels featuring Laci|"
			I know need them too! Crableg night as soon as we can! 🙌
 


	 
 

 


	I finally found it. Not with the animals and fishes and octopussies...with the food. Lol 🧈🦀🍋🍺
 


	I'll be in OKC this month and their restaurants are open! It's on!
		"
Hunter VanDyke|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21378|Denver, CO|05/09/2020 11:11  PM|Pandemic Feels featuring Laci|"
			Crablegs and cocktails as soon the restaurants open!  😍😍😍
		"
Hunter VanDyke|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21378|Denver, CO|05/09/2020 11:09  PM|Is this normal protocol for a provider?|"
			I really appreciate this post. Providers can be so judgmental when it comes to how other providers screen/don't screen. I've experienced this and I screen, just not the same way as they do. I find it arrogant and ignorant, especially because these same ladies have the most issues with their clients, and are constanly compaining how shitty they are, and really bad horror stories. The proof is in the pudding. If you have 95% great experiences with clients or even even in your dealings potential clients you never see, you're doing something right. I wouldn't trade that for those who require much more screening and 50% of the clients they deal with are not good. 
 


	I just want to add...Danni, you gave me a reference for a gentleman awhile back who Is one of my favorite clients to see, and he's also been the most supportive in helping the ladies getting through these hard times and he's become a wonderful addition to our community. I just want to say thank you so much for giving me that excellent reference, and I hope I get to return the favor somehow someday. 💙💙💙
		"
Hunter VanDyke|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21378|Denver, CO|05/09/2020  7:00  PM|The Provider Paradox|"
			Aww...Lovers 😍❤
		"
Laci French|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1284|In my happy place❤|05/20/2020  5:03  PM|Remember the black dot thread??|"
			Around the world sounds fun.
		"
Laci French|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1284|In my happy place❤|05/19/2020 11:04  PM|Remember the black dot thread??|"
			How do you have 8??
 


	This is all a conspiracy😳 Can we call an unbiased 3rd party in for the dots?
		"
Laci French|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1284|In my happy place❤|05/19/2020 11:02  PM|Remember the black dot thread??|"
			What would a bj be like at the speed of light?🤔
		"
Laci French|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1284|In my happy place❤|05/19/2020 11:01  PM|Denver|"
			He was hopeful.  I like him.  A glass half full kind of guy.😊
		"
Laci French|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1284|In my happy place❤|05/19/2020 12:42  PM|An Actual Connection?!?|"
			That's the good stuff😊
		"
Laci French|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1284|In my happy place❤|05/19/2020 12:15  PM|Remember the black dot thread??|"
			Best response ever🤣🤣
 


	Can we do a mail in ballots for the dot count?  All my deceased relatives want to vote.😊
		"
Laci French|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1284|In my happy place❤|05/19/2020  8:38  AM|Remember the black dot thread??|"
			Hope you taste the rainbow today😂
		"
Laci French|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1284|In my happy place❤|05/19/2020  7:21  AM|Get Up and Dance!|"
			Love this thread. Music feeds the soul.
		"
Laci French|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1284|In my happy place❤|05/19/2020  7:20  AM|Remember the black dot thread??|"
			How far have you come?  I'm at 8 dots and my personal goal is 10...going to take much coffee and scotch to pull this off.
		"
Laci French|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1284|In my happy place❤|05/18/2020  8:29  PM|The Provider Paradox|"
			This thread really highlights our dysfunctional fam and it makes me laugh. 
 


	Do we need to do group counseling?
		"
Laci French|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1284|In my happy place❤|05/18/2020  5:24  PM|Members you miss|"
			I love this thread.
 


	I miss Crystna, Chrissy, Boink and the guy that wanted burping and puking..what was his handle?
 


	Also miss Breanne and her exact location listings🤣
 


	I will think of more later...
		"
Laci French|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1284|In my happy place❤|05/14/2020  5:36  PM|QV UTF provider's|"
			We all need to smile and fuck more😊
 


	I searched reviews and listings and couldn't be much help.
 


	How do you find the 15min reviews? Is there a way I'm not seeing to search appt length?
		"
Laci French|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1284|In my happy place❤|05/14/2020  9:49  AM|QV UTF provider's|"
			Are you looking for a blow n go or the full taco meal?  
 


	I will pm you some suggestions.
		"
Laci French|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1284|In my happy place❤|05/13/2020 10:11  PM|Blacklists|"
			I didn't take it that way and I think you should be honest.  I've got your back if it all goes to hell.😊
 


	Can't fault a lady if the chemistry wasn't there, but she still tried.  
 


	If she didn't try then that's shame on her😔
		"
Laci French|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1284|In my happy place❤|05/13/2020  4:33  PM|Blacklists|"
			I wish her all the best!
		"
jasminewaterss7|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17038|N/A|03/30/2020 12:36  PM|==== COVID-19 CREDIT ====|"
			Blessings 💛
		"
jasminewaterss7|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17038|N/A|02/28/2020 10:40  AM|Looking for a surrogate provider.|"
			Seek therapy beloved
		"
jasminewaterss7|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17038|N/A|11/29/2019  9:22  AM|Those dinner dates could be trouble 😱|"
			I wish people could mind their own business 😅 the world would be a better place.
		"
jasminewaterss7|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17038|N/A|11/16/2019 10:53  PM|It’s that time again..|"
			I’m embarrassed to be from Colorado and not know how to ski/snowboard. Can anyone recommend an instructor or just general advice? 
 


	Also: ice skating.
		"
jasminewaterss7|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17038|N/A|11/07/2019  4:52  PM|Are TOB references useful as references?|"
			Providers aren’t notified when someone shares references. Your username is just added to a long list of other usernames. The best course of action is to send her a message notifying her that you shared the references. I hope this helps ❤️
		"
jasminewaterss7|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17038|N/A|10/30/2019  7:07  AM|Stranded|"
			Lol! We printed out maps and had a legitimate excuse to be late.
		"
jasminewaterss7|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17038|N/A|10/29/2019  4:29  PM|Stranded|"
			These past few days have been quite treacherous! Thank god for all the uber/lyft drivers ❤️
		"
jasminewaterss7|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17038|N/A|10/29/2019  9:36  AM|SNOW DAY!!!|"
			I make a killer hot chocolate & kahlua cocktail 😉
		"
jasminewaterss7|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17038|N/A|10/22/2019  5:30  AM|Anyone Look Into These Two?|"
			Yikes!
		"
jasminewaterss7|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17038|N/A|10/09/2019  7:30  AM|Wearing out your welcome|"
			It’s easy to assume the guy is simply taking advantage, 90% of gents arrive wearing a watch.
		"
jasminewaterss7|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17038|N/A|10/03/2019  6:17  PM|Snap chat ladies?|"
			To the ladies that may be reading this: Do not give away for free what some would eagerly pay for. Listen to the OGs
		"
jasminewaterss7|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17038|N/A|09/26/2019  8:36  AM|Where did they go?|"
			😉 *
		"
jasminewaterss7|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17038|N/A|08/21/2019 12:45  PM|Some of you ladies need to hear this|"
			If you don’t provide references you can’t ask other ladies for references. That’s just unprofessional and dumb. 
 


	It takes 2 minutes out of your day to help keep the community safe. You honestly have a lot of nerve as well as bad karma coming your way. Do better.
		"
jasminewaterss7|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17038|N/A|08/19/2019  5:32  PM|New Member|"
			Pick a lady you think is cute and plan the date a few days in advance. If you wait till the last minute you probably won’t get what you want, just like every other aspect of life.
		"
jasminewaterss7|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17038|N/A|08/19/2019  5:25  PM|Seeking Advice|"
			Definitely reach out ❤️
		"
Marilyn Desire|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=23847|Colorado Springs|04/05/2020  4:38  PM|What’s the point...😳|"
			This is when bars of soap come in handy lmfao! Of course for hygienic reasons I would only use bars of soap for myself and not for anyone to share!
		"
Marilyn Desire|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=23847|Colorado Springs|04/05/2020  4:35  PM|Slow and Sensual, or hard and fast|"
			I am all of the above! Tied up sounds fun
		"
Marilyn Desire|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=23847|Colorado Springs|04/03/2020  2:48  PM|There are some awesome rates right now.|"
			This is indeed happening!
		"
Marilyn Desire|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=23847|Colorado Springs|04/03/2020 11:13  AM|There are some awesome rates right now.|"
			Not sure where you are seeing discounted rates, but many ladies have stated that will not be happening. now there are many gents who are trying to lowball the ladies and get cheaper rates due to the pandemic. I hope you are not one of them, and please do not encourage it.
		"
Marilyn Desire|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=23847|Colorado Springs|03/30/2020  4:46  PM|==== COVID-19 CREDIT ====|"
			Thank you sooo much! I was sad because I just renewed my ad and then we got put on lock down for 2 weeks so I was thinking I was going to lose that time, so I appreciate the credit!
		"
Marilyn Desire|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=23847|Colorado Springs|02/24/2020  6:01  PM|Important! Ladies PM me for info!|"
			Thank you for sharing!!
		"
Marilyn Desire|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=23847|Colorado Springs|02/14/2020 12:49  PM|Enjoy Your VD|"
			Thank you!! Here is hoping that the day gets better than it started!
		"
Marilyn Desire|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=23847|Colorado Springs|01/08/2020  2:24  PM|WWIII?|"
			Awesome thank you!
		"
Marilyn Desire|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=23847|Colorado Springs|01/08/2020 12:56  PM|WWIII?|"
			I don't believe it will be WWIII either, at least I hope not!
		"
Marilyn Desire|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=23847|Colorado Springs|01/08/2020 12:31  PM|WWIII?|"
			This is an excellent idea and I appreciate your input! My question for you is, how do we get in contact with families to help support them? I am guessing look up support groups online or something else? I dont imagine this information is readily available?
		"
Marilyn Desire|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=23847|Colorado Springs|01/08/2020 11:22  AM|WWIII?|"
			As I sit here eating my lunch alone, I cant help but get emotional for our country and our troops. Although I dont have any friends or family in the military I do have many military clients, as I am in a military town. To all those who serve or have served you are in my thoughts!
		"
Marilyn Desire|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=23847|Colorado Springs|01/04/2020  7:12  PM|Transitioning into 2020|"
			I was hugging the porcelain throne shortly after midnight for about 12 hours afterwards. Totally awful, but I'm a lightweight lol! Def one of those ""I'm never drinking again"" moments.
		"
Marilyn Desire|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=23847|Colorado Springs|01/04/2020  7:06  PM|Tell me about your sex life|"
			Lucifer  😈
		"
Marilyn Desire|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=23847|Colorado Springs|12/27/2019  7:17  PM|has anyone tried these?|"
			Wtf owwww
		"
Marilyn Desire|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=23847|Colorado Springs|12/27/2019  7:15  PM|TER|"
			I have no interest in being on TER and being rated like I'm some product on Amazon. No Thank You! But to each their own!
		"
Kandi Apple|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=927|Denver|05/17/2020  8:13  AM|STG 411 in Colorado Springs|"
			Completely classless and disgusting!
		"
Kandi Apple|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=927|Denver|05/17/2020  8:09  AM|QV UTF provider's|"
			I don't offer Qv meetings because I do not like to be rushed.
 


	Maybe book a half hour and stay for a few minutes to enjoy the moment.
 


	If you can really bust in 15min and enjoy it, more power to you. 
 


	Most gentlemen take a bit longer than that.
		"
Kandi Apple|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=927|Denver|04/23/2020  3:16  PM|Corona humor|"
			Another closing
		"
Kandi Apple|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=927|Denver|04/15/2020  6:12  PM|Haircuts?|"
			Grease it up and slick it back.
 


	I like the old-school hair styles.
		"
Kandi Apple|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=927|Denver|04/14/2020  7:46  AM|"Question: Is gift card or bitcoin, the ""in thing"" now?"|"
			Cash is King in this industry.
		"
Kandi Apple|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=927|Denver|04/07/2020  1:25  AM|Looking to go out with a unicorn and wife|"
			http://Sdc.com
		"
Kandi Apple|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=927|Denver|04/04/2020  6:57  AM|What’s the point...😳|"
			If I can still smell ass, I will come up to the gentlemen and let him know that he is still smelling ripe.
 


	I put the breaks on and grab a washcloth and hot water in a bowl. 
 


	Sponge bath time and yes it does count on the clock.
 


	I be sure to show them the left over shit on the washcloth. 
 


	That way it's real clear why there was a need for intermission.
		"
Kandi Apple|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=927|Denver|03/31/2020 10:52  AM|==== COVID-19 CREDIT ====|"
			Thank you for your generosity. It is greatly appreciated!💋
		"
Kandi Apple|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=927|Denver|03/25/2020 11:58  AM|Why don’t gentleman read the ads?|"
			It is what it is...
 


	I can guarantee that a potential client that was approved and met the OP, used me as a reference.
 


	She did not reach out because she pissed me off and knows it!
 


	Chic still made her $$$.
 


	Whatever this is the industry
		"
Kandi Apple|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=927|Denver|03/25/2020 10:20  AM|Why don’t gentleman read the ads?|"
			Thank you!
 


	I've contacted the OP in the past and she flat out told me that if the gentlemen didn't review her she will not provide a reference.
 


	That is a line of bullshit as some gentleman do not post reviews.
		"
Kandi Apple|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=927|Denver|03/25/2020 10:16  AM|Are you Considering Other Options?|"
			2Big don't flatter yourself with your bullshit!
		"
Kandi Apple|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=927|Denver|03/23/2020 12:00  PM|Regular Clients|"
			I am thankful for my regulars that have reached out and helped my girlfriend and I!
 


	You are truly appreciated and will always be loved!
 


	Words could never say thank you enough! 💋💋💋
		"
